Player Name,Player State,Pre Rating,Actual Points (played rounds),Expected Points,Delta (Actual - Expected)
Aditya Bajaj,MI,1384,6,1.9450879074693543,4.054912092530646
Zachary James Houghton,MI,1220,4.5,1.3733088699456184,3.1266911300543816
Anvit Rao,MI,1365,5,1.9448540531323917,3.0551459468676083
Jacob Alexander Lavalley,MI,377,3,0.04324981022996425,2.9567501897700357
Stefano Lee,ON,1411,5,2.2865488816495683,2.7134511183504317
Dakshesh Daruri,MI,1553,6,3.7788248320673183,2.2211751679326817
Ethan Guo,MI,935,2.5,0.29545213355170735,2.2045478664482925
Tejas Ayyagari,MI,1011,2.5,1.0275701713904388,1.4724298286095612
Michael R Aldrich,MI,1229,4,2.55189634807097,1.44810365192903
Amiyatosh Pwnanandam,MI,980,2,0.7734528988913726,1.2265471011086273
Hanshi Zuo,MI,1655,5.5,4.38248397945101,1.1175160205489902
Gary Hua,ON,1794,6,5.161573642831808,0.838426357168192
Patrick H Schilling,MI,1716,5.5,4.741764318879344,0.7582356811206559
Sean M Mc Cormick,MI,853,1,0.41470738117904676,0.5852926188209533
Shivam Jha,MI,1056,2,1.4239330570178654,0.5760669429821346
Viraj Mohile,MI,917,1,0.42612292247561345,0.5738770775243865
Jezzel Farkas,ON,955,1.5,0.9667232549799109,0.5332767450200891
Gary Dee Swathell,MI,1649,5,4.581067880261594,0.4189321197384057
Julia Shen,MI,967,1,0.5960637412146961,0.4039362587853039
Brian Liu,MI,1423,2.5,2.1295967636483595,0.3704032363516405
Bradley Shaw,MI,1610,4.5,4.182689932184736,0.3173100678152636
Siddharth Jha,MI,1355,3,2.696116072958737,0.3038839270412632
Sofia Adina Stanescu-Bellu,MI,1507,3.5,3.3110043337450348,0.18899566625496522
Ashwin Balaji,MI,1530,1,0.8787049512118514,0.12129504878814856
Michael Jeffery Thomas,MI,1399,3.5,3.4358872078059326,0.0641127921940674
Forest Zhang,MI,1348,3,2.9371388993124494,0.06286110068755058
Alan Bui,ON,1363,4,3.9410737163751977,0.058926283624802345
Hansen Song,OH,1686,5,4.944596450031321,0.05540354996867869
Ezekiel Houghton,MI,1641,5,5.034280874852087,-0.03428087485208664
Justin D Schilling,MI,1199,2,2.0717482193525365,-0.0717482193525365
Marisa Ricci,MI,1153,1,1.0840833706646538,-0.08408337066465377
Kenneth J Tack,MI,1663,4,4.108191132272948,-0.10819113227294785
Joshua Philip Mathews,ON,1441,3.5,3.718393524422735,-0.21839352442273485
Mike Nikitin,MI,1604,3.5,3.804336249184965,-0.3043362491849648
Michael Lu,MI,1092,1,1.304859484321181,-0.30485948432118093
Dinh Dang Bui,ON,1563,4,4.320879270702531,-0.3208792707025312
Dipankar Roy,MI,1564,4,4.326200161662496,-0.3262001616624959
Kyle William Murphy,MI,1403,2,2.3648474870751253,-0.36484748707512527
Alex Kong,MI,1186,1,1.439784029724855,-0.439784029724855
Torrance Henry Jr,MI,1666,4.5,4.953076781193617,-0.4530767811936167
Gaurav Gidwani,MI,1552,3.5,3.995567824786413,-0.4955678247864128
Michael J Martin,MI,1291,2,2.54134277109349,-0.5413427710934902
David Sundeen,MI,1600,4,4.58704123168723,-0.5870412316872304
Max Zhu,ON,1579,3.5,4.102488857847746,-0.6024888578477459
Joel R Hendon,MI,1436,3,3.6231017393566285,-0.6231017393566285
Ronald Grzegorczyk,MI,1629,4,4.660498673855975,-0.660498673855975
Eric Wright,MI,1362,2.5,3.1861535105383356,-0.6861535105383356
Jose C Ybarra,MI,1393,1,1.7196146415719213,-0.7196146415719213
Cameron William Mc Leman,MI,1712,4.5,5.338730827766115,-0.8387308277661152
Thomas Joseph Hosmer,MI,1175,0.5,1.4280600440121498,-0.9280600440121498
Eugene L Mcclure,MI,1555,3.5,4.4816286196704995,-0.9816286196704995
Daniel Khain,MI,1382,1.5,2.530480565591598,-1.0304805655915978
Chiedozie Okorie,MI,1602,3.5,4.599007974449104,-1.099007974449104
Jason Zheng,MI,1595,4,5.1272531337307585,-1.1272531337307585
Jade Ge,MI,1449,3.5,4.642273641159545,-1.1422736411595453
Ben Li,MI,1163,1,2.274670576262609,-1.2746705762626092
Robert Glen Vasey,MI,1283,3,4.333962074000188,-1.3339620740001878
Derek Yan,MI,1242,3,4.372392652274693,-1.3723926522746934
Joshua David Lee,MI,1438,3.5,4.957890363898046,-1.4578903638980458
Rishi Shetty,MI,1494,3.5,5.09246477319498,-1.5924647731949797
Jared Ge,MI,1332,3,5.010416076683832,-2.010416076683832
Larry Hodge,MI,1270,1,3.398913958993035,-2.398913958993035
George Avery Jones,ON,1522,3.5,6.018220023117937,-2.5182200231179372
Loren Schwiebert,MI,1745,3.5,6.275650447064229,-2.775650447064229
